transaction_id,old_parent,old_president_name,new_parent,new_president_name,child,type,date
2403-53_tr_03,Minister of Defence,Ranil Wickremesinghe,Minister of Defence,Anura Kumara Dissanayake,Office of the Chief of Defence Staff,department,2024-09-27
2403-53_tr_04,Minister of Defence,Ranil Wickremesinghe,Minister of Defence,Anura Kumara Dissanayake,Sri Lanka Army,department,2024-09-27
2403-53_tr_05,Minister of Defence,Ranil Wickremesinghe,Minister of Defence,Anura Kumara Dissanayake,Sri Lanka Navy,department,2024-09-27
2403-53_tr_06,Minister of Defence,Ranil Wickremesinghe,Minister of Defence,Anura Kumara Dissanayake,Sri Lanka Air Force,department,2024-09-27
2403-53_tr_07,Minister of Defence,Ranil Wickremesinghe,Minister of Defence,Anura Kumara Dissanayake,State Intelligence Service,department,2024-09-27
2403-53_tr_08,Minister of Defence,Ranil Wickremesinghe,Minister of Defence,Anura Kumara Dissanayake,Civil Security Department,department,2024-09-27
2403-53_tr_09,Minister of Defence,Ranil Wickremesinghe,Minister of Defence,Anura Kumara Dissanayake,National Cadet Corps,department,2024-09-27
2403-53_tr_10,Minister of Defence,Ranil Wickremesinghe,Minister of Defence,Anura Kumara Dissanayake,National Authority for the Implementation of Chemical Weapons Convention,department,2024-09-27
2403-53_tr_11,Minister of Defence,Ranil Wickremesinghe,Minister of Defence,Anura Kumara Dissanayake,Sir John Kotelawala Defence University,department,2024-09-27
2403-53_tr_12,Minister of Defence,Ranil Wickremesinghe,Minister of Defence,Anura Kumara Dissanayake,Defence Services Command and Staff College,department,2024-09-27
2403-53_tr_13,Minister of Defence,Ranil Wickremesinghe,Minister of Defence,Anura Kumara Dissanayake,Miloda Institute - as a Faculty of Kotelawala Defence University,department,2024-09-27
2403-53_tr_14,Minister of Defence,Ranil Wickremesinghe,Minister of Defence,Anura Kumara Dissanayake,Defence Research and Development Centre,department,2024-09-27
2403-53_tr_15,Minister of Defence,Ranil Wickremesinghe,Minister of Defence,Anura Kumara Dissanayake,Institute of National Security Studies,department,2024-09-27
2403-53_tr_16,Minister of Defence,Ranil Wickremesinghe,Minister of Defence,Anura Kumara Dissanayake,National Defence College,department,2024-09-27
