transaction_id,old_parent,new_parent,child,type,date,old_president_name,new_president_name
2458-65_tr_03,Minister of Defence,Minister of Public Security and Parliamentary Affairs,Civil Security Department,department,2025-10-18,Anura Kumara Dissanayake,Anura Kumara Dissanayake
2458-65_tr_05,"Minister of Finance, Planning and Economic Development",Minister of Ports and Civil Aviation,Sri Lankan Airlines and its subsidiaries ,department,2025-10-18,Anura Kumara Dissanayake,Anura Kumara Dissanayake
2458-65_tr_06,,"Minister of Finance, Planning and Economic Development",Hotel Developers (Lanka) PLC (PQ 143),department,2025-10-18,Anura Kumara Dissanayake,Anura Kumara Dissanayake
2458-65_tr_14,,Minister of Science and Technology,Sri Lanka Atomic Energy Board,department,2025-10-18,Anura Kumara Dissanayake,Anura Kumara Dissanayake
2458-65_tr_15,,Minister of Science and Technology,Sri Lanka Atomic Energy Regulatory Council,department,2025-10-18,Anura Kumara Dissanayake,Anura Kumara Dissanayake
2458-65_tr_16,,"Minister of Agriculture, Livestock, Land and Irrigation",Department of Cinnamon Development,department,2025-10-18,Anura Kumara Dissanayake,Anura Kumara Dissanayake
2458-65_tr_21,,"Minister of Trade, Commerce, Food Security and Cooperative Development",Sri Lanka Thriposha Co. Ltd.,department,2025-10-18,Anura Kumara Dissanayake,Anura Kumara Dissanayake
2458-65_tr_24,,Minister of Health and Mass Media,Selacine Media Solutions (PVT) LTD,department,2025-10-18,Anura Kumara Dissanayake,Anura Kumara Dissanayake
2458-65_tr_27,,Minister of Digital Economy,Online Safety Commission,department,2025-10-18,Anura Kumara Dissanayake,Anura Kumara Dissanayake
2458-65_tr_28,,"Minister of Transport, Highways and Urban Development",Urban Development Authority,department,2025-10-18,Anura Kumara Dissanayake,Anura Kumara Dissanayake
2458-65_tr_29,,"Minister of Transport, Highways and Urban Development",Urban Settlement Development Authority,department,2025-10-18,Anura Kumara Dissanayake,Anura Kumara Dissanayake
2458-65_tr_30,,"Minister of Transport, Highways and Urban Development",Condominium Management Authority (Common Amenities Board),department,2025-10-18,Anura Kumara Dissanayake,Anura Kumara Dissanayake
2458-65_tr_31,,"Minister of Transport, Highways and Urban Development",Selendiva Investments Limited,department,2025-10-18,Anura Kumara Dissanayake,Anura Kumara Dissanayake
2458-65_tr_32,,"Minister of Transport, Highways and Urban Development",National Physical Planning Department,department,2025-10-18,Anura Kumara Dissanayake,Anura Kumara Dissanayake
2458-65_tr_33,,"Minister of Transport, Highways and Urban Development",Sri Lanka Land Development Corporation and its subsidiaries and related institutions,department,2025-10-18,Anura Kumara Dissanayake,Anura Kumara Dissanayake
2458-65_tr_34,,Minister of Ports and Civil Aviation,Sri Lanka Ports Authority and its Subsidiaries and Associates,department,2025-10-18,Anura Kumara Dissanayake,Anura Kumara Dissanayake
2458-65_tr_35,,Minister of Ports and Civil Aviation,Ceylon Shipping Corporation Ltd.,department,2025-10-18,Anura Kumara Dissanayake,Anura Kumara Dissanayake
2458-65_tr_36,,Minister of Ports and Civil Aviation,Merchant Shipping Secretariat,department,2025-10-18,Anura Kumara Dissanayake,Anura Kumara Dissanayake
2458-65_tr_37,,Minister of Ports and Civil Aviation,Civil Aviation Authority of Sri Lanka,department,2025-10-18,Anura Kumara Dissanayake,Anura Kumara Dissanayake
2458-65_tr_38,,Minister of Ports and Civil Aviation,Airport and Aviation Services (Sri Lanka) Ltd.,department,2025-10-18,Anura Kumara Dissanayake,Anura Kumara Dissanayake
