transaction_id,parent,parent_type,child,child_type,rel_type,date,president
2412-08_tr_03,"Minister of Finance, Planning and Economic Development",minister,National Credit Guarantee Institution Limited,department,AS_DEPARTMENT,2024-11-25,:AK
2412-08_tr_05,"Minister of Finance, Planning and Economic Development",minister,Canwill Holdings (Pvt) Ltd,department,AS_DEPARTMENT,2024-11-25,:AK
2412-08_tr_06,"Minister of Finance, Planning and Economic Development",minister,Provident Property Lanka Ltd - Institution being reviewed,department,AS_DEPARTMENT,2024-11-25,:AK
2412-08_tr_07,"Minister of Finance, Planning and Economic Development",minister,Asian Game (pvt) Ltd,department,AS_DEPARTMENT,2024-11-25,:AK
2412-08_tr_08,"Minister of Finance, Planning and Economic Development",minister,Commonwealth Game Hambantota (Pvt) Ltd,department,AS_DEPARTMENT,2024-11-25,:AK
2412-08_tr_09,"Minister of Finance, Planning and Economic Development",minister,Magampura Port Management Company (Pvt) Ltd,department,AS_DEPARTMENT,2024-11-25,:AK
2412-08_tr_10,"Minister of Finance, Planning and Economic Development",minister,Mihin Lanka (Pvt) Ltd,department,AS_DEPARTMENT,2024-11-25,:AK
2412-08_tr_11,"Minister of Finance, Planning and Economic Development",minister,Peliyagoda warehouse,department,AS_DEPARTMENT,2024-11-25,:AK
2412-08_tr_12,"Minister of Finance, Planning and Economic Development",minister,Strategic Enterprises Management Agency,department,AS_DEPARTMENT,2024-11-25,:AK
2412-08_tr_13,"Minister of Finance, Planning and Economic Development",minister,Lanka Fabric Ltd,department,AS_DEPARTMENT,2024-11-25,:AK
2412-08_tr_14,Minister of Energy,minister,Trinco Petroleum Terminal (Pvt) Ltd,department,AS_DEPARTMENT,2024-11-25,:AK
2412-08_tr_16,"Minister of Agriculture, Livestock, Land and Irrigation",minister,Mahaweli Consultancy Bureau (Pvt) Ltd,department,AS_DEPARTMENT,2024-11-25,:AK
2412-08_tr_26,Minister of Justice and National Integration,minister,Sri Lanka Judges Institute,department,AS_DEPARTMENT,2024-11-25,:AK
2412-08_tr_27,Minister of Justice and National Integration,minister,Non Judicial Officers Training Institute,department,AS_DEPARTMENT,2024-11-25,:AK
2412-08_tr_29,"Minister of Education, Higher Education and Vocational Education",minister,South Asian Centre for Teacher Development (SACTD),department,AS_DEPARTMENT,2024-11-25,:AK
2412-08_tr_33,"Minister of Trade, Commerce, Food Security and Cooperative Development",minister,Sri Lanka State Trading Corporation,department,AS_DEPARTMENT,2024-11-25,:AK
2412-08_tr_34,"Minister of Trade, Commerce, Food Security and Cooperative Development",minister,Food Commissioner's Department,department,AS_DEPARTMENT,2024-11-25,:AK
2412-08_tr_35,"Minister of Trade, Commerce, Food Security and Cooperative Development",minister,State Trading Co-operative Wholesale Co. Ltd,department,AS_DEPARTMENT,2024-11-25,:AK
2412-08_tr_40,Minister of Health and Mass Media,minister,Online Safety Commission,department,AS_DEPARTMENT,2024-11-25,:AK
2412-08_tr_166,Minister of Industry and Entrepreneurship Development,minister,Small Enterprise Development Division,department,AS_DEPARTMENT,2024-11-25,:AK
