transaction_id,old_parent,new_parent,child,type,date,old_president_name,new_president_name
2194-74_tr_16,"State Minister of Dhamma Schools, Bhikkhu Education, Piriven and Buddhist Universities",Minister of Education,Buddhasravaka Bhiksu University,department,2020-09-25,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2194-74_tr_17,"State Minister of Dhamma Schools, Bhikkhu Education, Piriven and Buddhist Universities",Minister of Education,Buddhist and Pali University,department,2020-09-25,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2194-74_tr_18,"State Minister of Skills Development, Vocational Education, Research and Innovation",Minister of Education,Sri Lanka Institute of Advanced Technological Education,department,2020-09-25,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2194-74_tr_20,Minister of Tourism,"State Minister of Wildlife Protection, Adoption of safety measures including the construction of electrical fences and trenches and reforestation and forest resource development",Department of National Zoological Gardens,department,2020-09-25,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2194-74_tr_21,Minister of Plantation,"State Minister of Company Estate Reforms, Tea and Rubber Estates Related Crops Cultivation and Factories Modernization and Tea and Rubber Export Promotion",Tea Small Holdings Development Authority,department,2020-09-25,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2194-74_tr_22,Minister of Agriculture,"State Minister of Company Estate Reforms, Tea and Rubber Estates Related Crops Cultivation and Factories Modernization and Tea and Rubber Export Promotion",Elkaduwa Plantation Company Ltd.,department,2020-09-25,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2194-74_tr_23,"State Minister of Coconut, Kithul, Palmyrah and Rubber Cultivation Promotion and Related Industrial Product Manufacturing and Export Diversification","State Minister of Company Estate Reforms, Tea and Rubber Estates Related Crops Cultivation and Factories Modernization and Tea and Rubber Export Promotion",Department of Rubber Development,department,2020-09-25,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2194-74_tr_24,"State Minister of Coconut, Kithul, Palmyrah and Rubber Cultivation Promotion and Related Industrial Product Manufacturing and Export Diversification","State Minister of Company Estate Reforms, Tea and Rubber Estates Related Crops Cultivation and Factories Modernization and Tea and Rubber Export Promotion",Rubber Research Institute,department,2020-09-25,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2194-74_tr_25,"State Minister of Coconut, Kithul, Palmyrah and Rubber Cultivation Promotion and Related Industrial Product Manufacturing and Export Diversification","State Minister of Company Estate Reforms, Tea and Rubber Estates Related Crops Cultivation and Factories Modernization and Tea and Rubber Export Promotion",Sri Lanka Rubber Manufacturing and Export Corporation,department,2020-09-25,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2194-74_tr_26,Minister of Agriculture,"State Minister of Development of Minor Crops Plantation including Sugarcane, Maize, Cashew, Pepper, Cinnamon, Cloves, Betel Related Industries and Export Promotion",Department of Export Agriculture,department,2020-09-25,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2194-74_tr_27,Minister of Irrigation,Minister of Water Supply,Water Resources Board,department,2020-09-25,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2194-74_tr_28,"State Minister of Samurdhi, Household Economy, Micro Finance, Self Employment and Business Development",Minister of Industries,National Enterprise Development Authority,department,2020-09-25,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2194-74_tr_29,"State Minister of National Heritage, Performing Arts and Rural Arts Promotion",Minister of Industries,Ape Gama,department,2020-09-25,Gotabaya Rajapaksa,Gotabaya Rajapaksa
