transaction_id,parent,parent_type,child,child_type,rel_type,date
2289-43_tr_496,Ranil Wickremesinghe,citizen,Minister of Defence,minister,AS_MINISTER,2022-07-22
2289-43_tr_497,Ranil Wickremesinghe,citizen,"Minister of Finance, Economic Stabilization and National Policies",minister,AS_MINISTER,2022-07-22
2289-43_tr_498,Ranil Wickremesinghe,citizen,Minister of Technology,minister,AS_MINISTER,2022-07-22
2289-43_tr_499,Ranil Wickremesinghe,citizen,"Minister of Women, Child Affairs and Social Empowerment",minister,AS_MINISTER,2022-07-22
2289-43_tr_500,Ranil Wickremesinghe,citizen,"Minister of Ports, Shipping and Aviation",minister,AS_MINISTER,2022-07-22
2289-43_tr_501,Ranil Wickremesinghe,citizen,Minister of Investment Promotion,minister,AS_MINISTER,2022-07-22
2289-43_tr_502,Ranil Wickremesinghe,citizen,"Minister of Public Administration, Home Affairs, Provincial Councils and Local Government",minister,AS_MINISTER,2022-07-22
2289-43_tr_503,Ranil Wickremesinghe,citizen,Minister of Fisheries,minister,AS_MINISTER,2022-07-22
2289-43_tr_504,Ranil Wickremesinghe,citizen,Minister of Education,minister,AS_MINISTER,2022-07-22
2289-43_tr_505,Ranil Wickremesinghe,citizen,Minister of Transport and Highways,minister,AS_MINISTER,2022-07-22
2289-43_tr_506,Ranil Wickremesinghe,citizen,Minister of Mass Media,minister,AS_MINISTER,2022-07-22
2289-43_tr_507,Ranil Wickremesinghe,citizen,Minister of Health,minister,AS_MINISTER,2022-07-22
2289-43_tr_508,Ranil Wickremesinghe,citizen,Minister of Water Supply,minister,AS_MINISTER,2022-07-22
2289-43_tr_509,Ranil Wickremesinghe,citizen,Minister of Agriculture,minister,AS_MINISTER,2022-07-22
2289-43_tr_510,Ranil Wickremesinghe,citizen,Minister of Wildlife and Forest Resources Conservation,minister,AS_MINISTER,2022-07-22
2289-43_tr_511,Ranil Wickremesinghe,citizen,"Minister of Justice, Prisons Affairs and Constitutional Reforms",minister,AS_MINISTER,2022-07-22
2289-43_tr_512,Ranil Wickremesinghe,citizen,Minister of Tourism and Lands,minister,AS_MINISTER,2022-07-22
2289-43_tr_513,Ranil Wickremesinghe,citizen,Minister of Plantation Industries,minister,AS_MINISTER,2022-07-22
2289-43_tr_514,Ranil Wickremesinghe,citizen,Minister of Industries,minister,AS_MINISTER,2022-07-22
2289-43_tr_515,Ranil Wickremesinghe,citizen,Minister of Urban Development and Housing,minister,AS_MINISTER,2022-07-22
2289-43_tr_516,Ranil Wickremesinghe,citizen,Minister of Foreign Affairs,minister,AS_MINISTER,2022-07-22
2289-43_tr_517,Ranil Wickremesinghe,citizen,"Minister of Buddhasasana, Religious and Cultural Affairs",minister,AS_MINISTER,2022-07-22
2289-43_tr_518,Ranil Wickremesinghe,citizen,Minister of Power and Energy,minister,AS_MINISTER,2022-07-22
2289-43_tr_519,Ranil Wickremesinghe,citizen,Minister of Environment,minister,AS_MINISTER,2022-07-22
2289-43_tr_520,Ranil Wickremesinghe,citizen,Minister of Sports and Youth Affairs,minister,AS_MINISTER,2022-07-22
2289-43_tr_521,Ranil Wickremesinghe,citizen,Minister of Irrigation,minister,AS_MINISTER,2022-07-22
2289-43_tr_522,Ranil Wickremesinghe,citizen,Minister of Labour and Foreign Employment,minister,AS_MINISTER,2022-07-22
2289-43_tr_523,Ranil Wickremesinghe,citizen,Minister of Public Security,minister,AS_MINISTER,2022-07-22
2289-43_tr_524,Ranil Wickremesinghe,citizen,"Minister of Trade, Commerce and Food Security",minister,AS_MINISTER,2022-07-22
