transaction_id,old_parent,old_president_name,new_parent,new_president_name,child,type,date
2289-43_tr_525,,Ranil Wickremesinghe,Minister of Defence,Ranil Wickremesinghe,Office of the Chief of Defence Staff,department,2022-07-22
2289-43_tr_526,,Ranil Wickremesinghe,Minister of Defence,Ranil Wickremesinghe,Sri Lanka Army,department,2022-07-22
2289-43_tr_527,,Ranil Wickremesinghe,Minister of Defence,Ranil Wickremesinghe,Sri Lanka Navy,department,2022-07-22
2289-43_tr_528,,Ranil Wickremesinghe,Minister of Defence,Ranil Wickremesinghe,Sri Lanka Air Force,department,2022-07-22
2289-43_tr_529,,Ranil Wickremesinghe,Minister of Defence,Ranil Wickremesinghe,State Intelligence Service,department,2022-07-22
2289-43_tr_530,,Ranil Wickremesinghe,Minister of Defence,Ranil Wickremesinghe,Civil Security Department,department,2022-07-22
2289-43_tr_531,,Ranil Wickremesinghe,Minister of Defence,Ranil Wickremesinghe,Department of Multi-purpose Development Task Force,department,2022-07-22
2289-43_tr_532,,Ranil Wickremesinghe,Minister of Defence,Ranil Wickremesinghe,National Cadet Corps,department,2022-07-22
2289-43_tr_533,,Ranil Wickremesinghe,Minister of Defence,Ranil Wickremesinghe,Sir John Kotelawala Defence University,department,2022-07-22
2289-43_tr_534,,Ranil Wickremesinghe,Minister of Defence,Ranil Wickremesinghe,Defence Services Command and Staff College,department,2022-07-22
2289-43_tr_535,,Ranil Wickremesinghe,Minister of Defence,Ranil Wickremesinghe,Defence Services School,department,2022-07-22
2289-43_tr_536,,Ranil Wickremesinghe,Minister of Defence,Ranil Wickremesinghe,Defence Research and Development Centre,department,2022-07-22
2289-43_tr_537,,Ranil Wickremesinghe,Minister of Defence,Ranil Wickremesinghe,Institute of National Security Studies,department,2022-07-22
2289-43_tr_538,,Ranil Wickremesinghe,Minister of Defence,Ranil Wickremesinghe,National Defence College,department,2022-07-22
2289-43_tr_539,,Ranil Wickremesinghe,Minister of Defence,Ranil Wickremesinghe,Rakna Arakshana Lanka Ltd.,department,2022-07-22
2289-43_tr_540,,Ranil Wickremesinghe,Minister of Defence,Ranil Wickremesinghe,Coast Guard Department of Sri Lanka,department,2022-07-22
2289-43_tr_541,,Ranil Wickremesinghe,Minister of Defence,Ranil Wickremesinghe,National Dangerous Drugs Control Board,department,2022-07-22
2289-43_tr_542,,Ranil Wickremesinghe,Minister of Defence,Ranil Wickremesinghe,National Defence Fund,department,2022-07-22
2289-43_tr_543,,Ranil Wickremesinghe,Minister of Defence,Ranil Wickremesinghe,Ranaviru Seva Authority,department,2022-07-22
2289-43_tr_544,,Ranil Wickremesinghe,Minister of Defence,Ranil Wickremesinghe,Api Wenuwen Api Fund,department,2022-07-22
2289-43_tr_545,,Ranil Wickremesinghe,Minister of Defence,Ranil Wickremesinghe,Department of Meteorology,department,2022-07-22
2289-43_tr_546,,Ranil Wickremesinghe,Minister of Defence,Ranil Wickremesinghe,National Disaster Management Council,department,2022-07-22
2289-43_tr_547,,Ranil Wickremesinghe,Minister of Defence,Ranil Wickremesinghe,Disaster Management Centre,department,2022-07-22
2289-43_tr_548,,Ranil Wickremesinghe,Minister of Defence,Ranil Wickremesinghe,National Disaster Relief Services Centre,department,2022-07-22
2289-43_tr_549,,Ranil Wickremesinghe,Minister of Defence,Ranil Wickremesinghe,National Building Research Organization,department,2022-07-22
2289-43_tr_550,,Ranil Wickremesinghe,Minister of Defence,Ranil Wickremesinghe,Telecommunication Regulatory Commission of Sri Lanka and Allied Institutions,department,2022-07-22
2289-43_tr_551,,Ranil Wickremesinghe,"Minister of Finance, Economic Stabilization and National Policies",Ranil Wickremesinghe,National Planning Department,department,2022-07-22
2289-43_tr_552,,Ranil Wickremesinghe,"Minister of Finance, Economic Stabilization and National Policies",Ranil Wickremesinghe,Department of Project Management and Monitoring,department,2022-07-22
2289-43_tr_553,,Ranil Wickremesinghe,"Minister of Finance, Economic Stabilization and National Policies",Ranil Wickremesinghe,Department of External Resources,department,2022-07-22
2289-43_tr_554,,Ranil Wickremesinghe,"Minister of Finance, Economic Stabilization and National Policies",Ranil Wickremesinghe,State Resources Management Corporation,department,2022-07-22
2289-43_tr_555,,Ranil Wickremesinghe,"Minister of Finance, Economic Stabilization and National Policies",Ranil Wickremesinghe,General Treasury,department,2022-07-22
2289-43_tr_556,,Ranil Wickremesinghe,"Minister of Finance, Economic Stabilization and National Policies",Ranil Wickremesinghe,Department of Fiscal Policy,department,2022-07-22
2289-43_tr_557,,Ranil Wickremesinghe,"Minister of Finance, Economic Stabilization and National Policies",Ranil Wickremesinghe,Department of National Budget,department,2022-07-22
2289-43_tr_558,,Ranil Wickremesinghe,"Minister of Finance, Economic Stabilization and National Policies",Ranil Wickremesinghe,Department of Management Services,department,2022-07-22
2289-43_tr_559,,Ranil Wickremesinghe,"Minister of Finance, Economic Stabilization and National Policies",Ranil Wickremesinghe,Department of Public Finance,department,2022-07-22
2289-43_tr_560,,Ranil Wickremesinghe,"Minister of Finance, Economic Stabilization and National Policies",Ranil Wickremesinghe,Department of Treasury Operations,department,2022-07-22
2289-43_tr_561,,Ranil Wickremesinghe,"Minister of Finance, Economic Stabilization and National Policies",Ranil Wickremesinghe,Department of State Accounts,department,2022-07-22
2289-43_tr_562,,Ranil Wickremesinghe,"Minister of Finance, Economic Stabilization and National Policies",Ranil Wickremesinghe,Department of Trade and Investment Policies,department,2022-07-22
2289-43_tr_563,,Ranil Wickremesinghe,"Minister of Finance, Economic Stabilization and National Policies",Ranil Wickremesinghe,Department of Information Technology Management,department,2022-07-22
2289-43_tr_564,,Ranil Wickremesinghe,"Minister of Finance, Economic Stabilization and National Policies",Ranil Wickremesinghe,Department of Legal Affairs,department,2022-07-22
2289-43_tr_565,,Ranil Wickremesinghe,"Minister of Finance, Economic Stabilization and National Policies",Ranil Wickremesinghe,Department of Development Finance,department,2022-07-22
2289-43_tr_566,,Ranil Wickremesinghe,"Minister of Finance, Economic Stabilization and National Policies",Ranil Wickremesinghe,Department of Public Enterprises,department,2022-07-22
2289-43_tr_567,,Ranil Wickremesinghe,"Minister of Finance, Economic Stabilization and National Policies",Ranil Wickremesinghe,Office of Comptroller General,department,2022-07-22
2289-43_tr_568,,Ranil Wickremesinghe,"Minister of Finance, Economic Stabilization and National Policies",Ranil Wickremesinghe,Department of Inland Revenue,department,2022-07-22
