transaction_id,old_parent,new_parent,child,type,date,old_parent_pres,new_parent_pres
2412-08_tr_04,"Minister of Transport, Highways, Ports and Civil Aviation","Minister of Finance, Planning and Economic Development",Sri Lankan Air Lines Limited and its subsidiaries,department,2024-11-25,:AK,:AK
2412-08_tr_17,"Minister of Environment, Wildlife, Forest Resources, Water Supply, Plantation and Community Infrastructure","Minister of Agriculture, Livestock, Land and Irrigation",Department of Export Agriculture,department,2024-11-25,:AK,:AK
2412-08_tr_20,"Minister of Buddhasasana, Religious and Cultural Affairs, National Integration, Social Security, and Mass Media",Minister of Justice and National Integration,Department of Official Languages,department,2024-11-25,:AK,:AK
2412-08_tr_21,"Minister of Buddhasasana, Religious and Cultural Affairs, National Integration, Social Security, and Mass Media",Minister of Justice and National Integration,Official Languages Commission,department,2024-11-25,:AK,:AK
2412-08_tr_22,"Minister of Buddhasasana, Religious and Cultural Affairs, National Integration, Social Security, and Mass Media",Minister of Justice and National Integration,National Institute of Language Education and Training,department,2024-11-25,:AK,:AK
2412-08_tr_23,"Minister of Buddhasasana, Religious and Cultural Affairs, National Integration, Social Security, and Mass Media",Minister of Justice and National Integration,Office for National Unity and Reconciliation,department,2024-11-25,:AK,:AK
2412-08_tr_24,"Minister of Buddhasasana, Religious and Cultural Affairs, National Integration, Social Security, and Mass Media",Minister of Justice and National Integration,Office on Missing Persons,department,2024-11-25,:AK,:AK
2412-08_tr_25,"Minister of Buddhasasana, Religious and Cultural Affairs, National Integration, Social Security, and Mass Media",Minister of Justice and National Integration,Office for Reparations,department,2024-11-25,:AK,:AK
2412-08_tr_31,"Minister of Finance, Planning and Economic Development",Minister of Women and Child Affairs,Protection of Children National Trust Fund,department,2024-11-25,:AK,:AK
2412-08_tr_36,"Minister of Finance, Planning and Economic Development","Minister of Trade, Commerce, Food Security and Cooperative Development",Department of the Registrar of Companies,department,2024-11-25,:AK,:AK
2412-08_tr_38,"Minister of Finance, Planning and Economic Development",Minister of Health and Mass Media,Sri Lanka Media Training Institute,department,2024-11-25,:AK,:AK
2412-08_tr_39,"Minister of Finance, Planning and Economic Development",Minister of Health and Mass Media,Sri Lanka Thriposha Co. Ltd.,department,2024-11-25,:AK,:AK
2412-08_tr_41,"Minister of Buddhasasana, Religious and Cultural Affairs, National Integration, Social Security, and Mass Media",Minister of Health and Mass Media,Right to Information Commission,department,2024-11-25,:AK,:AK
2412-08_tr_42,"Minister of Buddhasasana, Religious and Cultural Affairs, National Integration, Social Security, and Mass Media",Minister of Health and Mass Media,Department of Government Printing,department,2024-11-25,:AK,:AK
2412-08_tr_43,"Minister of Buddhasasana, Religious and Cultural Affairs, National Integration, Social Security, and Mass Media",Minister of Health and Mass Media,Department of Government Information,department,2024-11-25,:AK,:AK
2412-08_tr_44,"Minister of Buddhasasana, Religious and Cultural Affairs, National Integration, Social Security, and Mass Media",Minister of Health and Mass Media,Sri Lanka Press Council,department,2024-11-25,:AK,:AK
2412-08_tr_45,"Minister of Buddhasasana, Religious and Cultural Affairs, National Integration, Social Security, and Mass Media",Minister of Health and Mass Media,Sri Lanka Broadcasting Corporation,department,2024-11-25,:AK,:AK
2412-08_tr_46,"Minister of Buddhasasana, Religious and Cultural Affairs, National Integration, Social Security, and Mass Media",Minister of Health and Mass Media,Independent Television Network,department,2024-11-25,:AK,:AK
2412-08_tr_47,"Minister of Buddhasasana, Religious and Cultural Affairs, National Integration, Social Security, and Mass Media",Minister of Health and Mass Media,Sri Lanka Rupavahini Corporation,department,2024-11-25,:AK,:AK
2412-08_tr_48,"Minister of Buddhasasana, Religious and Cultural Affairs, National Integration, Social Security, and Mass Media",Minister of Health and Mass Media,Associated Newspapers of Ceylon Ltd.,department,2024-11-25,:AK,:AK
2412-08_tr_49,"Minister of Buddhasasana, Religious and Cultural Affairs, National Integration, Social Security, and Mass Media",Minister of Health and Mass Media,Lanka Puwath Ltd,department,2024-11-25,:AK,:AK
2412-08_tr_50,"Minister of Buddhasasana, Religious and Cultural Affairs, National Integration, Social Security, and Mass Media",Minister of Health and Mass Media,Sri Lanka Foundation,department,2024-11-25,:AK,:AK
2412-08_tr_51,"Minister of Buddhasasana, Religious and Cultural Affairs, National Integration, Social Security, and Mass Media",Minister of Health and Mass Media,Postal Department,department,2024-11-25,:AK,:AK
2412-08_tr_52,"Minister of Buddhasasana, Religious and Cultural Affairs, National Integration, Social Security, and Mass Media",Minister of Health and Mass Media,Sri Lanka Institute of Printing,department,2024-11-25,:AK,:AK
2412-08_tr_54,"Minister of Education, Higher Education and Vocational Education","Minister of Buddhasasana, Religious and Cultural Affairs",National Library and Documentation Services Board,department,2024-11-25,:AK,:AK
2412-08_tr_58,Minister of Justice and National Integration,"Minister of Foreign Affairs, Foreign Employment and Tourism",Sri Lanka Foreign Employment Bureau,department,2024-11-25,:AK,:AK
2412-08_tr_59,Minister of Justice and National Integration,"Minister of Foreign Affairs, Foreign Employment and Tourism",Foreign Employment Agency of Sri Lanka (Pvt.) Ltd.,department,2024-11-25,:AK,:AK
2412-08_tr_60,"Minister of Finance, Planning and Economic Development","Minister of Foreign Affairs, Foreign Employment and Tourism",Sri Lanka Tourism Promotion Bureau,department,2024-11-25,:AK,:AK
2412-08_tr_61,"Minister of Finance, Planning and Economic Development","Minister of Foreign Affairs, Foreign Employment and Tourism",Sri Lanka Tourism Development Authority,department,2024-11-25,:AK,:AK
2412-08_tr_62,"Minister of Finance, Planning and Economic Development","Minister of Foreign Affairs, Foreign Employment and Tourism",Sri Lanka Institute of Tourism and Hotel Management,department,2024-11-25,:AK,:AK
2412-08_tr_63,"Minister of Finance, Planning and Economic Development","Minister of Foreign Affairs, Foreign Employment and Tourism",Sri Lanka Convention Bureau,department,2024-11-25,:AK,:AK
2412-08_tr_65,"Minister of Finance, Planning and Economic Development",Minister of Environment,Department of National Botanic Gardens,department,2024-11-25,:AK,:AK
