transaction_id,parent,parent_type,child,child_type,rel_type,date
2403-38_tr_01,Minister of Defence,minister,Anura Kumara Dissanayake,citizen,AS_APPOINTED,2024-09-25
2403-38_tr_02,"Minister of Finance, Economic Stabilization and National Policies",minister,Anura Kumara Dissanayake,citizen,AS_APPOINTED,2024-09-25
2403-38_tr_03,Minister of Technology,minister,Anura Kumara Dissanayake,citizen,AS_APPOINTED,2024-09-25
2403-38_tr_04,"Minister of Women, Child Affairs and Social Empowerment",minister,Anura Kumara Dissanayake,citizen,AS_APPOINTED,2024-09-25
2403-38_tr_05,"Minister of Ports, Shipping and Aviation",minister,Anura Kumara Dissanayake,citizen,AS_APPOINTED,2024-09-25
2403-38_tr_06,Minister of Investment Promotion,minister,Anura Kumara Dissanayake,citizen,AS_APPOINTED,2024-09-25
2403-38_tr_07,"Minister of Public Administration, Home Affairs, Provincial Councils and Local Government",minister,Anura Kumara Dissanayake,citizen,AS_APPOINTED,2024-09-25
2403-38_tr_08,Minister of Fisheries,minister,Anura Kumara Dissanayake,citizen,AS_APPOINTED,2024-09-25
2403-38_tr_09,Minister of Education,minister,Anura Kumara Dissanayake,citizen,AS_APPOINTED,2024-09-25
2403-38_tr_10,Minister of Transport and Highways,minister,Anura Kumara Dissanayake,citizen,AS_APPOINTED,2024-09-25
2403-38_tr_11,Minister of Mass Media,minister,Anura Kumara Dissanayake,citizen,AS_APPOINTED,2024-09-25
2403-38_tr_12,Minister of Health,minister,Anura Kumara Dissanayake,citizen,AS_APPOINTED,2024-09-25
2403-38_tr_13,Minister of Water Supply and Estate Infrastructure Development,minister,Anura Kumara Dissanayake,citizen,AS_APPOINTED,2024-09-25
2403-38_tr_14,Minister of Agriculture and Plantation Industries,minister,Anura Kumara Dissanayake,citizen,AS_APPOINTED,2024-09-25
2403-38_tr_15,Minister of Wildlife and Forest Resources Conservation,minister,Anura Kumara Dissanayake,citizen,AS_APPOINTED,2024-09-25
2403-38_tr_16,"Minister of Justice, Prisons Affairs and Constitutional Reforms",minister,Anura Kumara Dissanayake,citizen,AS_APPOINTED,2024-09-25
2403-38_tr_17,Minister of Tourism and Lands,minister,Anura Kumara Dissanayake,citizen,AS_APPOINTED,2024-09-25
2403-38_tr_18,Minister of Industries,minister,Anura Kumara Dissanayake,citizen,AS_APPOINTED,2024-09-25
2403-38_tr_19,Minister of Urban Development and Housing,minister,Anura Kumara Dissanayake,citizen,AS_APPOINTED,2024-09-25
2403-38_tr_20,Minister of Foreign Affairs,minister,Anura Kumara Dissanayake,citizen,AS_APPOINTED,2024-09-25
2403-38_tr_21,"Minister of Buddhasasana, Religious and Cultural Affairs",minister,Anura Kumara Dissanayake,citizen,AS_APPOINTED,2024-09-25
2403-38_tr_22,Minister of Power and Energy,minister,Anura Kumara Dissanayake,citizen,AS_APPOINTED,2024-09-25
2403-38_tr_23,Minister of Environment,minister,Anura Kumara Dissanayake,citizen,AS_APPOINTED,2024-09-25
2403-38_tr_24,Minister of Sports and Youth Affairs,minister,Anura Kumara Dissanayake,citizen,AS_APPOINTED,2024-09-25
2403-38_tr_25,Minister of Irrigation,minister,Anura Kumara Dissanayake,citizen,AS_APPOINTED,2024-09-25
2403-38_tr_26,Minister of Labour and Foreign Employment,minister,Anura Kumara Dissanayake,citizen,AS_APPOINTED,2024-09-25
2403-38_tr_27,Minister of Public Security,minister,Anura Kumara Dissanayake,citizen,AS_APPOINTED,2024-09-25
2403-38_tr_28,"Minister of Trade, Commerce and Food Security",minister,Anura Kumara Dissanayake,citizen,AS_APPOINTED,2024-09-25
2403-38_tr_29,State Minister of Higher Education,minister,Anura Kumara Dissanayake,citizen,AS_APPOINTED,2024-09-25
2403-38_tr_30,Non Cabinet Minister of State Plantation Enterprises Reforms,minister,Anura Kumara Dissanayake,citizen,AS_APPOINTED,2024-09-25
2403-38_tr_31,State Minister of Sports and Youth Affairs,minister,Anura Kumara Dissanayake,citizen,AS_APPOINTED,2024-09-25
2403-38_tr_32,Non Cabinet Minister of Development Projects,minister,Anura Kumara Dissanayake,citizen,AS_APPOINTED,2024-09-25
