transaction_id,parent,parent_type,child,child_type,rel_type,date
2188-42_tr_28,Minister of Transport,minister,Mahinda Amaraweera,citizen,AS_APPOINTED,2020-08-13
2188-42_tr_30,State Minister of Water Supply Facilities,minister,Vasudeva Nanayakkara,citizen,AS_APPOINTED,2020-08-13
2188-42_tr_31,State Minister of Urban Development,minister,Gamini Lokuge,citizen,AS_APPOINTED,2020-08-13
2188-42_tr_32,State Minister of Irrigation and Rural Development,minister,Mahinda Yapa Abeywardene,citizen,AS_APPOINTED,2020-08-13
2188-42_tr_33,State Minister of Lands and Land Development,minister,S.B. Dissanayake,citizen,AS_APPOINTED,2020-08-13
2188-42_tr_34,State Minister of Economy and Policy Development,minister,John Seneviratne,citizen,AS_APPOINTED,2020-08-13
2188-42_tr_35,State Minister of Public Administration and Home Affairs,minister,Mahinda Samarasinghe,citizen,AS_APPOINTED,2020-08-13
2188-42_tr_36,State Minister of Railway Services,minister,C.B. Ratnayake,citizen,AS_APPOINTED,2020-08-13
2188-42_tr_37,State Minister of Information and Communication Technology,minister,Lakshman Yapa Abeywardene,citizen,AS_APPOINTED,2020-08-13
2188-42_tr_38,State Minister of Small & Medium Enterprise Development,minister,Susantha Punchinilame,citizen,AS_APPOINTED,2020-08-13
2188-42_tr_39,State Minister of Internal Trade and Consumer Welfare,minister,Anura Priyadarshana Yapa,citizen,AS_APPOINTED,2020-08-13
2188-42_tr_40,State Minister of International Co-operation,minister,Susil Premajayanth,citizen,AS_APPOINTED,2020-08-13
2188-42_tr_41,State Minister of Indigenous Medical Services,minister,Piyankara Jayaratne,citizen,AS_APPOINTED,2020-08-13
2188-42_tr_42,State Minister of Education Services,minister,Ranjith Siyambalapitiya,citizen,AS_APPOINTED,2020-08-13
2188-42_tr_44,State Minister of Youth Affairs,minister,Duminda Dissanayake,citizen,AS_APPOINTED,2020-08-13
2188-42_tr_45,State Minister of Energy,minister,Rohitha Abeygunawardene,citizen,AS_APPOINTED,2020-08-13
2188-42_tr_46,State Minister of Industries,minister,Dayasiri Jayasekara,citizen,AS_APPOINTED,2020-08-13
2188-42_tr_47,State Minister of Public Management and Accounting,minister,Lasantha Alagiyawanna,citizen,AS_APPOINTED,2020-08-13
2188-42_tr_48,State Minister of Investment Promotions,minister,Keheliya Rambukwella,citizen,AS_APPOINTED,2020-08-13
2188-42_tr_49,State Minister of Tourism Promotion Affairs,minister,Arundika Fernando,citizen,AS_APPOINTED,2020-08-13
2188-42_tr_50,State Minister of Technology and Innovations,minister,Thilanga Sumathipala,citizen,AS_APPOINTED,2020-08-13
2188-42_tr_51,State Minister of Human Rights and Law Reforms,minister,Mohan Priyadarshana De Silva,citizen,AS_APPOINTED,2020-08-13
2188-42_tr_52,State Minister of Women and Child Affairs,minister,Vijitha Berugoda,citizen,AS_APPOINTED,2020-08-13
2188-42_tr_53,State Minister of Mahaweli Development,minister,Roshan Ranasinghe,citizen,AS_APPOINTED,2020-08-13
2188-42_tr_54,State Minister of Export Agriculture,minister,Janaka Wakkumbura,citizen,AS_APPOINTED,2020-08-13
2188-42_tr_55,State Minister of Agriculture,minister,Vidura Wickremenayake,citizen,AS_APPOINTED,2020-08-13
2188-42_tr_56,State Minister of Development Banks and Loans,minister,Shehan Semasinghe,citizen,AS_APPOINTED,2020-08-13
2188-42_tr_57,State Minister of Ports Development Affairs,minister,Kanaka Herath,citizen,AS_APPOINTED,2020-08-13
2188-42_tr_58,State Minister of Transport Services Management,minister,Dilum Amunugama,citizen,AS_APPOINTED,2020-08-13
2188-42_tr_59,State Minister of Highways Development,minister,Lohan Ratwatte,citizen,AS_APPOINTED,2020-08-13
2188-42_tr_60,State Minister of Wildlife Resources,minister,Wimalaweera Dissanayake,citizen,AS_APPOINTED,2020-08-13
2188-42_tr_61,State Minister of Environment,minister,Jayantha Samaraweera,citizen,AS_APPOINTED,2020-08-13
2188-42_tr_62,State Minister of Fisheries and Inland Fisheries Industry,minister,Sanath Nishantha Perera,citizen,AS_APPOINTED,2020-08-13
2188-42_tr_63,State Minister of Social Security,minister,Tharaka Balasuriya,citizen,AS_APPOINTED,2020-08-13
2188-42_tr_64,State Minister of Community Development,minister,Nimal Lanza,citizen,AS_APPOINTED,2020-08-13
2188-42_tr_65,State Minister of Tea Industry Development,minister,Kanchana Wijesekara,citizen,AS_APPOINTED,2020-08-13
2188-42_tr_66,State Minister of Housing,minister,Indika Anurudhdha,citizen,AS_APPOINTED,2020-08-13
2188-42_tr_67,Minister of Mass Media,minister,Bandula Gunawardana,citizen,AS_APPOINTED,2020-08-13
