transaction_id,parent,parent_type,child,child_type,rel_type,date,comments
2188-42_tr_01,Minister of Finance,minister,Mahinda Rajapaksa,citizen,AS_APPOINTED,2020-08-13,
2188-42_tr_02,"Minister of Buddha Sasana, Religious and Cultural Affairs",minister,Mahinda Rajapaksa,citizen,AS_APPOINTED,2020-08-13,
2188-42_tr_03,Minister of Urban Development and Housing,minister,Mahinda Rajapaksa,citizen,AS_APPOINTED,2020-08-13,
2188-42_tr_04,Minister of Labour,minister,Nimal Siripala De Silva,citizen,AS_APPOINTED,2020-08-13,
2188-42_tr_05,Minister of Education,minister,G. L. Peiris,citizen,AS_APPOINTED,2020-08-13,
2188-42_tr_08,Minister of Fisheries,minister,Douglas Devananda,citizen,AS_APPOINTED,2020-08-13,
2188-42_tr_09,Minister of Transport,minister,Gamini Lokuge,citizen,AS_APPOINTED,2020-08-13,
2188-42_tr_10,Minister of Trade,minister,Bandula Gunawardena,citizen,AS_APPOINTED,2020-08-13,
2188-42_tr_11,Minister of Wildlife and Forest Conservation,minister,R. M. C. B. Rathnayake,citizen,AS_APPOINTED,2020-08-13,
2188-42_tr_13,Minister of Mass Media,minister,Keheliya Rambukwella,citizen,AS_APPOINTED,2020-08-13,
2188-42_tr_14,Minister of Irrigation,minister,Chamal Rajapaksa,citizen,AS_APPOINTED,2020-08-13,
2188-42_tr_15,Minister of Power,minister,Dullas Alahapperuma,citizen,AS_APPOINTED,2020-08-13,
2188-42_tr_18,Minister of Environment,minister,Mahinda Amaraweera,citizen,AS_APPOINTED,2020-08-13,
2188-42_tr_20,Minister of Agriculture,minister,Mahindananda Aluthgamage,citizen,AS_APPOINTED,2020-08-13,
2188-42_tr_21,Minister of Water Supply,minister,Vasudeva Nanayakkara,citizen,AS_APPOINTED,2020-08-13,
2188-42_tr_22,Minister of Energy,minister,Udaya Prabath Gammanpila,citizen,AS_APPOINTED,2020-08-13,
2188-42_tr_25,Minister of Ports and Shipping,minister,Rohitha Abegunawardhana,citizen,AS_APPOINTED,2020-08-13,
2188-42_tr_26,Minister of Youth and Sports,minister,Namal Rajapaksa,citizen,AS_APPOINTED,2020-08-13,
2188-42_tr_27,Minister of Justice,minister,Ali Sabry,citizen,AS_APPOINTED,2020-08-13,
