transaction_id,parent,parent_type,child,child_type,rel_type,date
2289-34-2_tr_01,Minister of Investment Promotion,minister,Kulappu Arachchige Don Dhammika Perera,citizen,AS_APPOINTED,2022-07-20
2289-34-2_tr_02,"Minister of Trade, Commerce and Food Security",minister,Kachchakaduge Nalin Ruwanjiwa Fernando,citizen,AS_APPOINTED,2022-07-20
2289-34-2_tr_03,Minister of Labour and Foreign Employment,minister,Maligaspe Koralege Nalin Manusha Nanayakkara,citizen,AS_APPOINTED,2022-07-20
2289-34-2_tr_04,Minister of Sports and Youth Affairs,minister,Anuruddha Ranasinghe Arachchige Roshan,citizen,AS_APPOINTED,2022-07-20
2289-34-2_tr_05,Minister of Power & Energy,minister,Kanchana Wijesekera,citizen,AS_APPOINTED,2022-07-20
2289-34-2_tr_06,Minister of Tourism and Lands,minister,Nalaka Jude Hareen Fernando,citizen,AS_APPOINTED,2022-07-20
2289-34-2_tr_07,"Minister of Justice, Prisons Affairs and Constitutional Reforms",minister,Wijayadasa Rajapaksh,citizen,AS_APPOINTED,2022-07-20
2289-34-2_tr_08,Minister of Transport and Highways,minister,Bandula Gunawardena,citizen,AS_APPOINTED,2022-07-20
2289-34-2_tr_09,"Minister of Ports, Shipping and Aviation",minister,Nimal Siripala de Silva,citizen,AS_APPOINTED,2022-07-20
2289-34-2_tr_10,"Minister of Finance, Economic Stabilization and National Policies",minister,Ranil Wickremasinghe,citizen,AS_APPOINTED,2022-07-20
2289-34-2_tr_11,State Minister of Highways,minister,Vijitha Berugoda,citizen,AS_APPOINTED,2022-07-20
2289-34-2_tr_12,Minister of Plantation Industries,minister,Ramesh Pathirana,citizen,AS_APPOINTED,2022-07-20
2289-34-2_tr_13,"Minister of Public Administration, Home Affairs, Provincial Councils & Local Government",minister,Dinesh Chandra Rupasingha Gunawardena,citizen,AS_APPOINTED,2022-07-20
2289-34-2_tr_14,Minister of Wildlife and Forest Resources Conservation,minister,Mahinda Amaraweera,citizen,AS_APPOINTED,2022-07-20
2289-34-2_tr_15,Minister of Foreign Affairs,minister,Gamini Lakshman Pieris,citizen,AS_APPOINTED,2022-07-20
2289-34-2_tr_16,Minister of Public Security,minister,Tiran Alles,citizen,AS_APPOINTED,2022-07-20
2289-34-2_tr_17,Minister of Mass Media,minister,Bandula Gunawardena,citizen,AS_APPOINTED,2022-07-20
2289-34-2_tr_18,Minister of Industries,minister,Ramesh Pathirana,citizen,AS_APPOINTED,2022-07-20
2289-34-2_tr_19,Minister of Water Supply,minister,Keheliya Rambukwella,citizen,AS_APPOINTED,2022-07-20
2289-34-2_tr_20,Minister of Fisheries,minister,Douglas Devananda,citizen,AS_APPOINTED,2022-07-20
2289-34-2_tr_21,Minister of Irrigation,minister,Anuruddha Ranasinghe Arachchige Roshan,citizen,AS_APPOINTED,2022-07-20
2289-34-2_tr_22,Minister of Agriculture,minister,Mahinda Amaraweera,citizen,AS_APPOINTED,2022-07-20
2289-34-2_tr_23,Minister of Environment,minister,Ahamed Zenulabdeen Naseer,citizen,AS_APPOINTED,2022-07-20
2289-34-2_tr_24,Minister of Health,minister,Keheliya Rambukwella,citizen,AS_APPOINTED,2022-07-20
2289-34-2_tr_25,Minister of Urban Development and Housing,minister,Prasanna Ranatunga,citizen,AS_APPOINTED,2022-07-20
2289-34-2_tr_26,"Minister of Buddha Sasana, Religious and Cultural Affairs",minister,Vidura Wickramanayaka,citizen,AS_APPOINTED,2022-07-20
2289-34-2_tr_27,Minister of Defence,minister,Gotabaya Rajapaksa,citizen,AS_APPOINTED,2022-07-20
2289-34-2_tr_28,Minister of Education,minister,Achchige Don Susil Premajayanth,citizen,AS_APPOINTED,2022-07-20
2289-34-2_tr_29,Minister of Industrial Export and Investment Promotion,minister,Prasanna Ranatunga,citizen,AS_APPOINTED,2022-07-20
2289-34-2_tr_30,Government of Sri Lanka,government,Gotabaya Rajapaksa,citizen,AS_PRESIDENT,2022-07-20
