transaction_id,parent,parent_type,child,child_type,rel_type,date,president
2411-10_tr_22,"Minister of Education, Science and Technology",minister,Harini Amarasuriya,citizen,AS_APPOINTED,2024-11-18,:AK
2411-10_tr_23,"Minister of Agriculture, Lands, Livestock, Irrigation, Fisheries and Aquatic Resources",minister,Anura Kumara Dissanayake,citizen,AS_APPOINTED,2024-11-18,:AK
2411-10_tr_24,"Minister of Finance, Economic Development, Policy Formulation, Planning and Tourism",minister,Anura Kumara Dissanayake,citizen,AS_APPOINTED,2024-11-18,:AK
2411-10_tr_25,Minister of Foreign Affairs,minister,Herath Mudiyanselage Vijitha Herath,citizen,AS_APPOINTED,2024-11-18,:AK
2411-10_tr_26,"Minister of Finance, Economic Development, Policy Formulation, Planning and Tourism",minister,Anura Kumara Dissanayake,citizen,AS_APPOINTED,2024-11-18,:AK
2411-10_tr_27,"Minister of Agriculture, Lands, Livestock, Irrigation, Fisheries and Aquatic Resources",minister,Anura Kumara Dissanayake,citizen,AS_APPOINTED,2024-11-18,:AK
2411-10_tr_28,"Minister of Trade, Commerce, Food Security, Cooperative Development, Industry and Entrepreneurship Development",minister,Harini Amarasuriya,citizen,AS_APPOINTED,2024-11-18,:AK
2411-10_tr_29,"Minister of Transport, Highways, Ports and Civil Aviation",minister,Herath Mudiyanselage Vijitha Herath,citizen,AS_APPOINTED,2024-11-18,:AK
2411-10_tr_30,"Minister of Environment, Wildlife, Forest Resources,Water Supply, Plantation and Community Infrastructure",minister,Herath Mudiyanselage Vijitha Herath,citizen,AS_APPOINTED,2024-11-18,:AK
2411-10_tr_31,Minister of Health,minister,Harini Amarasuriya,citizen,AS_APPOINTED,2024-11-18,:AK
2411-10_tr_32,"Minister of Buddhasasana, Religious and Cultural Affairs, National Integration, Social Security, and Mass Media",minister,Herath Mudiyanselage Vijitha Herath,citizen,AS_APPOINTED,2024-11-18,:AK
2411-10_tr_33,"Minister of Trade, Commerce, Food Security, Cooperative Development, Industry and Entrepreneurship Development",minister,Harini Amarasuriya,citizen,AS_APPOINTED,2024-11-18,:AK
2411-10_tr_34,"Minister of Justice, Public Administration, Home Affairs, Provincial Councils, Local Government and Labour",minister,Harini Amarasuriya,citizen,AS_APPOINTED,2024-11-18,:AK
2411-10_tr_35,"Minister of Rural and Urban Development, Housing and Construction",minister,Herath Mudiyanselage Vijitha Herath,citizen,AS_APPOINTED,2024-11-18,:AK
2411-10_tr_36,Minister of Public Security,minister,Herath Mudiyanselage Vijitha Herath,citizen,AS_APPOINTED,2024-11-18,:AK
2411-10_tr_37,Minister of Energy,minister,Anura Kumara Dissanayake,citizen,AS_APPOINTED,2024-11-18,:AK
2411-10_tr_38,"Minister of Women, Child and Youth Affairs, and Sports",minister,Harini Amarasuriya,citizen,AS_APPOINTED,2024-11-18,:AK
2411-10_tr_39,"Minister of Environment, Wildlife, Forest Resources,Water Supply, Plantation and Community Infrastructure",minister,Herath Mudiyanselage Vijitha Herath,citizen,AS_APPOINTED,2024-11-18,:AK
2411-10_tr_40,"Minister of Buddhasasana, Religious and Cultural Affairs, National Integration, Social Security, and Mass Media",minister,Herath Mudiyanselage Vijitha Herath,citizen,AS_APPOINTED,2024-11-18,:AK
