minister,department
Minister of Defence,Office of the Chief of Defence Staff
Minister of Defence,Sri Lanka Army
Minister of Defence,Sri Lanka Navy
Minister of Defence,Sri Lanka Air Force
Minister of Defence,State Intelligence Service
Minister of Defence,Civil Security Department
Minister of Defence,Department of Multi-purpose Development Task Force
Minister of Defence,National Cadet Corps
Minister of Defence,Sir John Kotelawala Defence University
Minister of Defence,Defence Services Command and Staff College
Minister of Defence,Defence Services School
Minister of Defence,Defence Research and Development Centre
Minister of Defence,Institute of National Security Studies
Minister of Defence,National Defence College
Minister of Defence,Rakna Arakshana Lanka Ltd.
Minister of Defence,Coast Guard Department of Sri Lanka
Minister of Defence,National Dangerous Drugs Control Board
Minister of Defence,National Defence Fund
Minister of Defence,Ranaviru Seva Authority
Minister of Defence,Api Wenuwen Api Fund
Minister of Defence,Department of Meteorology
Minister of Defence,National Disaster Management Council
Minister of Defence,Disaster Management Centre
Minister of Defence,National Disaster Relief Services Centre
Minister of Defence,National Building Research Organization
Minister of Defence,Telecommunication Regulatory Commission of Sri Lanka and Allied Institutions
"Minister of Finance, Economic Stabilization and National Policies",National Planning Department
"Minister of Finance, Economic Stabilization and National Policies",Department of Project Management and Monitoring
"Minister of Finance, Economic Stabilization and National Policies",Department of External Resources
"Minister of Finance, Economic Stabilization and National Policies",State Resources Management Corporation
"Minister of Finance, Economic Stabilization and National Policies",General Treasury
"Minister of Finance, Economic Stabilization and National Policies",Department of Fiscal Policy
"Minister of Finance, Economic Stabilization and National Policies",Department of National Budget
"Minister of Finance, Economic Stabilization and National Policies",Department of Management Services
"Minister of Finance, Economic Stabilization and National Policies",Department of Public Finance
"Minister of Finance, Economic Stabilization and National Policies",Department of Treasury Operations
"Minister of Finance, Economic Stabilization and National Policies",Department of State Accounts
"Minister of Finance, Economic Stabilization and National Policies",Department of Trade and Investment Policies
"Minister of Finance, Economic Stabilization and National Policies",Department of Information Technology Management
"Minister of Finance, Economic Stabilization and National Policies",Department of Legal Affairs
"Minister of Finance, Economic Stabilization and National Policies",Department of Development Finance
"Minister of Finance, Economic Stabilization and National Policies",Department of Public Enterprises
"Minister of Finance, Economic Stabilization and National Policies",Office of Comptroller General
"Minister of Finance, Economic Stabilization and National Policies",Department of Inland Revenue
"Minister of Finance, Economic Stabilization and National Policies",Sri Lanka Customs
"Minister of Finance, Economic Stabilization and National Policies",Department of Excise
"Minister of Finance, Economic Stabilization and National Policies",National Lotteries Board
"Minister of Finance, Economic Stabilization and National Policies",Development Lotteries Board
"Minister of Finance, Economic Stabilization and National Policies",Department of Valuation
"Minister of Finance, Economic Stabilization and National Policies",Sri Lanka Export Development Board
"Minister of Finance, Economic Stabilization and National Policies",Central Bank of Sri Lanka
"Minister of Finance, Economic Stabilization and National Policies",Insurance Regulatory Commission of Sri Lanka
"Minister of Finance, Economic Stabilization and National Policies",Sri Lanka Insurance Corporation and its subsidiaries and affiliated companies
"Minister of Finance, Economic Stabilization and National Policies",Credit Information Bureau
"Minister of Finance, Economic Stabilization and National Policies",Sri Lanka Accounting and Auditing Standard Monitoring Board
"Minister of Finance, Economic Stabilization and National Policies",Public Utilities Commission of Sri Lanka
"Minister of Finance, Economic Stabilization and National Policies",Sri Lanka Export Credit Insurance Corporation
"Minister of Finance, Economic Stabilization and National Policies",Housing Development Finance Corporation
"Minister of Finance, Economic Stabilization and National Policies",State Mortgage and Investment Bank
"Minister of Finance, Economic Stabilization and National Policies",Regional Development Bank
"Minister of Finance, Economic Stabilization and National Policies",Department of Census and Statistics
"Minister of Finance, Economic Stabilization and National Policies",Institute of Policy Studies
"Minister of Finance, Economic Stabilization and National Policies",Sustainable Development Council
"Minister of Finance, Economic Stabilization and National Policies",Welfare Benefits Board
"Minister of Finance, Economic Stabilization and National Policies",Public Service Mutual Provident Fund
"Minister of Finance, Economic Stabilization and National Policies","Strike, Riot, Civil Commotion and Terrorism Fund"
"Minister of Finance, Economic Stabilization and National Policies",National Insurance Trust Fund
"Minister of Finance, Economic Stabilization and National Policies",Employees' Trust Fund
"Minister of Finance, Economic Stabilization and National Policies",Lady Lochore Fund
"Minister of Finance, Economic Stabilization and National Policies",Board of Investment of Sri Lanka
"Minister of Finance, Economic Stabilization and National Policies",Colombo Port City Economic Commission
"Minister of Finance, Economic Stabilization and National Policies",Department of Telecommunications
"Minister of Finance, Economic Stabilization and National Policies",Wildlife Trust
"Minister of Finance, Economic Stabilization and National Policies",Sri Lanka Media Training Institute
"Minister of Finance, Economic Stabilization and National Policies",Department of Internal Trade
"Minister of Finance, Economic Stabilization and National Policies","Pulse Crops, Grain Research and Production Authority"
"Minister of Finance, Economic Stabilization and National Policies",Protection of Children-National Trust Fund
"Minister of Finance, Economic Stabilization and National Policies",Institutions coming under the Revival (Removal) of Underperforming Enterprises or Underutilized Assets Act vested to the Secretary to the Treasury
Minister of Technology,Department of Registration of Persons
Minister of Technology,Information and Communication Technology Agency and Allied Institutions
Minister of Technology,Sri Lanka Computer Emergency Readiness Team
Minister of Technology,Sri Lanka Telecom and its Subsidiaries and Allied Institutions
Minister of Technology,Industrial Technology Institute
Minister of Technology,Sri Lanka Standards Institute
"Minister of Women, Child Affairs and Social Empowerment",National Committee on Women
"Minister of Women, Child Affairs and Social Empowerment",Sri Lanka Women's Bureau
"Minister of Women, Child Affairs and Social Empowerment",Department of Probation and Childcare Services
"Minister of Women, Child Affairs and Social Empowerment",National Child Protection Authority
"Minister of Women, Child Affairs and Social Empowerment",National Secretariat for Early Childhood Development
"Minister of Women, Child Affairs and Social Empowerment",Department of Samurdhi Development
"Minister of Women, Child Affairs and Social Empowerment",Saubhagya Development Bureau
"Minister of Women, Child Affairs and Social Empowerment",National Institute of Social Development
"Minister of Women, Child Affairs and Social Empowerment",Rural Development Training and Research Institute
"Minister of Women, Child Affairs and Social Empowerment",Social Security Board
"Minister of Women, Child Affairs and Social Empowerment",National Council for Persons with Disabilities
"Minister of Women, Child Affairs and Social Empowerment",National Secretariat for Persons with Disabilities
"Minister of Women, Child Affairs and Social Empowerment",Department of Social Services
"Minister of Women, Child Affairs and Social Empowerment",National Council for Elders and National Secretariat for Elders
"Minister of Women, Child Affairs and Social Empowerment",Kidney Fund
"Minister of Ports, Shipping and Aviation",Sri Lanka Ports Authority and its Subsidiaries and Associates
"Minister of Ports, Shipping and Aviation",Merchant Shipping Secretariat
"Minister of Ports, Shipping and Aviation",Civil Aviation Authority of Sri Lanka
"Minister of Ports, Shipping and Aviation",Airport and Aviation Services (Sri Lanka) Ltd.
"Minister of Ports, Shipping and Aviation",Sri Lankan Air Lines Limited and its subsidiaries
Minister of Investment Promotion,Department of Immigration and Emigration
Minister of Investment Promotion,Colombo Lotus Tower Management Company (Pvt.) Limited
Minister of Investment Promotion,Techno Park Development Company (Pvt.) Limited
"Minister of Public Administration, Home Affairs, Provincial Councils and Local Government",Department of Pensions
"Minister of Public Administration, Home Affairs, Provincial Councils and Local Government",Sri Lanka Institute of Development Administration
"Minister of Public Administration, Home Affairs, Provincial Councils and Local Government",Distance Learning Centre Ltd.
"Minister of Public Administration, Home Affairs, Provincial Councils and Local Government",Department of Official Languages
"Minister of Public Administration, Home Affairs, Provincial Councils and Local Government",Official Languages Commission
"Minister of Public Administration, Home Affairs, Provincial Councils and Local Government",National Institute of Language Education and Training
"Minister of Public Administration, Home Affairs, Provincial Councils and Local Government",Public Service Pensioners' Trust Fund
"Minister of Public Administration, Home Affairs, Provincial Councils and Local Government",Local Government Service Pension Fund
"Minister of Public Administration, Home Affairs, Provincial Councils and Local Government",Local Government Widows' and Orphans' Pension Fund
"Minister of Public Administration, Home Affairs, Provincial Councils and Local Government",Local Government Widowers' and Orphans' Pension Fund
"Minister of Public Administration, Home Affairs, Provincial Councils and Local Government",All District Secretariats and Divisional Secretariats
"Minister of Public Administration, Home Affairs, Provincial Councils and Local Government",Department of Registrar General
"Minister of Public Administration, Home Affairs, Provincial Councils and Local Government",Sri Lanka Institute of Local Government
"Minister of Public Administration, Home Affairs, Provincial Councils and Local Government",Local Loans and Development Fund
Minister of Fisheries,Department of Fisheries and Aquatic Resources
Minister of Fisheries,National Aquatic Resources Research and Development Agency
Minister of Fisheries,National Aquaculture Development Authority
Minister of Fisheries,Ceylon Fisheries Corporation
Minister of Fisheries,Cey-Nor Foundation Ltd.
Minister of Education,Department of Educational Publications
Minister of Education,National Library and Documentation Services Board
Minister of Education,National Colleges of Education
Minister of Education,UNESCO National Commission of Sri Lanka
Minister of Education,Sri Lanka Publication Development Bureau
Minister of Education,State Printing Corporation
Minister of Education,Directorates of Education
Minister of Education,National Education Commission
Minister of Education,National Institute of Education
Minister of Education,Piriven Education Board
Minister of Education,National Institute of Business Management and affiliated institutions
Minister of Education,University of Vocational Technology
Minister of Education,National Institute of Fisheries and Nautical Engineering (Ocean University)
Minister of Education,Vocational Training Authority of Sri Lanka
Minister of Education,National Apprenticeship and Industrial Training Authority
Minister of Education,Ceylon German Technical Training Institute
Minister of Education,Department of Technical Education and Training
Minister of Education,National Institute of Fundamental Studies
Minister of Education,Sri Lanka Inventors' Commission
Minister of Education,National Research Council
Minister of Education,Tertiary and Vocational Education Commission
Minister of Education,National Science Foundation
Minister of Education,Planetarium of Sri Lanka
Minister of Education,National Innovation Agency
Minister of Education,Skills Development Fund Ltd.
Minister of Education,National Science and Technology Commission
Minister of Education,Sri Lanka Institute of Biotechnology (Pvt.) Ltd.
Minister of Education,Vidatha Centres
Minister of Education,University Grants Commission
Minister of Education,"All State Universities, Postgraduate Institutions and other Institutions under the purview of University Grants Commission"
Minister of Education,Buddhasravaka Bhikku University
Minister of Education,Buddhist and Pali University of Sri Lanka
Minister of Education,Sri Lanka Institute of Advanced Technological Education
Minister of Transport and Highways,State Development and Construction Corporation
Minister of Transport and Highways,National Transport Commission
Minister of Transport and Highways,Department of Sri Lanka Railways
Minister of Transport and Highways,Sri Lanka Transport Board
Minister of Transport and Highways,National Transport Medical Institute
Minister of Transport and Highways,Department of Motor Traffic
Minister of Mass Media,Right to Information Commission
Minister of Mass Media,Department of Government Printing
Minister of Mass Media,Department of Government Information
Minister of Mass Media,Sri Lanka Press Council
Minister of Mass Media,Sri Lanka Broadcasting Corporation
Minister of Mass Media,Independent Television Network
Minister of Mass Media,Sri Lanka Rupavahini Corporation
Minister of Mass Media,Associated Newspapers of Ceylon Ltd.
Minister of Mass Media,Selacine Rupavahini Institute
Minister of Mass Media,Sri Lanka Foundation
Minister of Mass Media,Postal Department
Minister of Mass Media,Sri Lanka Institute of Printing
Minister of Mass Media,Public Performance Board
Minister of Mass Media,National Film Corporation
Minister of Health,National Health Council
Minister of Health,Medical Research Institute
Minister of Health,Sri Lanka Medical Council
Minister of Health,Sri Lanka Medical College Council
Minister of Health,Private Health Services Regulatory Council
Minister of Health,Department of Health Services
Minister of Health,School of Medical Laboratory Technology
Minister of Health,"National Institute of Nephrology, Dialysis and Transplantation"
Minister of Health,Sri Lanka Thriposha Co. Ltd.
Minister of Health,Sri Jayewardenepura General Hospital
Minister of Health,Ashraff Memorial Hospital
Minister of Health,National Authority on Tobacco and Alcohol
Minister of Health,1990 Suwaseriya Foundation
Minister of Health,National Health Development Fund
Minister of Health,State Pharmaceutical Corporation
Minister of Health,State Pharmaceutical Manufacturing Corporation
Minister of Health,National Medicines Regulatory Authority
Minister of Health,Department of Ayurveda
Minister of Health,Sri Lanka Ayurvedic Drugs Corporation
Minister of Health,Ayurvedic Medical Council
Minister of Health,Ayurvedic College and Hospital Board
Minister of Health,Ayurveda Teaching and Research Hospitals
Minister of Health,"Homeopathy Hospital, Welisara"
Minister of Health,Homeopathy Medical Council
Minister of Water Supply,National Water Supply and Drainage Board
Minister of Water Supply,Water Resources Board
Minister of Water Supply,Department of National Community Water Supply
Minister of Agriculture,Department of Agriculture
Minister of Agriculture,Department of Agrarian Development
Minister of Agriculture,Agriculture and Agrarian Insurance Board
Minister of Agriculture,Paddy Marketing Board
Minister of Agriculture,Hector Kobbekaduwa Agrarian Research and Training Institute
Minister of Agriculture,Sri Lanka Council for Agricultural Research Policy
Minister of Agriculture,National Agricultural Diversification and Settlement Authority
Minister of Agriculture,National Fertilizer Secretariat
Minister of Agriculture,Ceylon Fertilizer Company Ltd.
Minister of Agriculture,Colombo Commercial Fertilizer Company
Minister of Agriculture,National Hunger Eradication Campaign Board of Sri Lanka (National Food Promotion Board)
Minister of Agriculture,Institute of Post-Harvest Technology
Minister of Agriculture,Department of Animal Production and Health
Minister of Agriculture,National Livestock Development Board and affiliated companies
Minister of Agriculture,Milco (Pvt.) Ltd.
Minister of Agriculture,Mahaweli Livestock Enterprise Limited
Minister of Wildlife and Forest Resources Conservation,Department of Forest Conservation
Minister of Wildlife and Forest Resources Conservation,Department of Wildlife Conservation
Minister of Wildlife and Forest Resources Conservation,Department of National Zoological Gardens
Minister of Wildlife and Forest Resources Conservation,State Timber Corporation
"Minister of Justice, Prisons Affairs and Constitutional Reforms",Attorney General's Department
"Minister of Justice, Prisons Affairs and Constitutional Reforms",Legal Draftsman's Department
"Minister of Justice, Prisons Affairs and Constitutional Reforms",Department of Debt Conciliation Board
"Minister of Justice, Prisons Affairs and Constitutional Reforms",Department of Government Analyst
"Minister of Justice, Prisons Affairs and Constitutional Reforms",Office of the Registrar of the Supreme Court
"Minister of Justice, Prisons Affairs and Constitutional Reforms",Law Commission of Sri Lanka
"Minister of Justice, Prisons Affairs and Constitutional Reforms",Superior Courts Complex Board of Management
"Minister of Justice, Prisons Affairs and Constitutional Reforms",Mediation Boards Commission
"Minister of Justice, Prisons Affairs and Constitutional Reforms",Council of Legal Education
"Minister of Justice, Prisons Affairs and Constitutional Reforms",Commercial Mediation Centre of Sri Lanka
"Minister of Justice, Prisons Affairs and Constitutional Reforms",Office for National Unity and Reconciliation
"Minister of Justice, Prisons Affairs and Constitutional Reforms",Office of Missing Persons
"Minister of Justice, Prisons Affairs and Constitutional Reforms",Office for Reparations
"Minister of Justice, Prisons Affairs and Constitutional Reforms",Department of Prisons
"Minister of Justice, Prisons Affairs and Constitutional Reforms",Community Based Correction Department
"Minister of Justice, Prisons Affairs and Constitutional Reforms",Training Schools for Youthful Offenders
"Minister of Justice, Prisons Affairs and Constitutional Reforms",Rehabilitation Commissioner General's Office
Minister of Tourism and Lands,Sri Lanka Tourism Promotion Bureau
Minister of Tourism and Lands,Sri Lanka Tourism Development Authority
Minister of Tourism and Lands,Sri Lanka Institute of Tourism and Hotel Management
Minister of Tourism and Lands,Sri Lanka Convention Bureau
Minister of Tourism and Lands,Department of Land Commissioner General
Minister of Tourism and Lands,Department of Land Use Policy Planning
Minister of Tourism and Lands,Department of Land Settlement
Minister of Tourism and Lands,Land Reform Commission
Minister of Tourism and Lands,Sri Lanka Survey Department
Minister of Tourism and Lands,Institute of Surveying and Mapping
Minister of Tourism and Lands,Land Survey Council
Minister of Plantation Industries,National Institute of Plantation Management
Minister of Plantation Industries,Sri Lanka Tea Board
Minister of Plantation Industries,Tea Small Holdings Development Authority
Minister of Plantation Industries,Tea Research Institute
Minister of Plantation Industries,Tea and Rubber Estates (Control and Fragmentation) Board
Minister of Plantation Industries,Janatha Estate Development Board
Minister of Plantation Industries,Kalubovitiyana Tea Factory Ltd.
Minister of Plantation Industries,Sri Lanka State Plantation Corporation
Minister of Plantation Industries,Elkaduwa Plantation Company Ltd.
Minister of Plantation Industries,Department of Rubber Development
Minister of Plantation Industries,Rubber Research Institute
Minister of Plantation Industries,Sri Lanka Rubber Manufacturing and Export Corporation
Minister of Plantation Industries,Tea Shakthi Fund
Minister of Plantation Industries,Thurusaviya Fund
Minister of Plantation Industries,Department of Export Agriculture
Minister of Plantation Industries,Sri Lanka Cashew Corporation
Minister of Plantation Industries,Hingurana Sugar Industry Ltd.
Minister of Plantation Industries,Ceylon Sugar (Pvt.) Ltd.
Minister of Plantation Industries,Kantale Sugar Company Ltd.
Minister of Plantation Industries,Sugar Cane Research Institute
Minister of Plantation Industries,Galoya Plantation (Pvt.) Company
Minister of Plantation Industries,Spices and Allied Products Marketing Board
Minister of Plantation Industries,Kurunegala Plantation Company Ltd.
Minister of Plantation Industries,Coconut Cultivation Board
Minister of Plantation Industries,Coconut Development Authority
Minister of Plantation Industries,Coconut Research Institute
Minister of Plantation Industries,Palmyrah Development Board
Minister of Plantation Industries,Kithul Development Board
Minister of Plantation Industries,Kapruka Fund
Minister of Industries,Ceylon Industrial Development Board
Minister of Industries,Lanka Leyland Ltd.
Minister of Industries,Lanka Ashok Leyland Ltd.
Minister of Industries,National Paper Corporation Ltd.
Minister of Industries,Sri Lanka Cement Corporation
Minister of Industries,Ceylon Ceramics Corporation (Brick and Tiles Division)
