minister,ranil_department,existing_department
Minister of Defence,National Authority for the Implementation of Chemical Weapons Convention,National Authority for the implementation of Chemical Weapons Convention
"Minister of Finance, Economic Stabilization and National Policies",Department of Management Audit,Department of Management Auditing
"Minister of Finance, Economic Stabilization and National Policies","All State Banks, Financial Institutions, Insurance Companies and their subsidiaries and related institutions","All State Banks, Financial, Insurance and their subsidiaries and related institutions"
"Minister of Finance, Economic Stabilization and National Policies",Department of the Registrar of Companies,Department of Registrar Companies
"Minister of Finance, Economic Stabilization and National Policies",Securities and Exchange Commission of Sri Lanka,Security and Exchange Commission of Sri Lanka
"Minister of Finance, Economic Stabilization and National Policies",Tax Appeals Commission,Tax Appeal Commission
"Minister of Finance, Economic Stabilization and National Policies",Janatha Fertilizer Enterprises Ltd,Janatha Fertilizer Enterprises Ltd.
"Minister of Ports, Shipping and Aviation",Ceylon Shipping Corporation Ltd.,Ceylon Shipping Corporation Ltd
Minister of Investment Promotion,Information Technology Parks,All Information Technology Parks
Minister of Fisheries,North Sea Ltd,North Sea Ltd.
Minister of Fisheries,Ceylon Fishery Harbours Corporation,Ceylon Fisheries Harbour Corporation
Minister of Education,Department of Examinations,Department of Examination
Minister of Education,Teachers' College,Teachers' Colleges
Minister of Education,National Engineering Research And Development Centre,National Engineering Research and Development Centre
Minister of Education,Arthur C. Clarke Institute for Modern Technologies,Arthur C. Clarke Centre for Modern Technology
Minister of Education,Sri Lanka Inventors' Fund,Sri Lanka Inventors Fund
Minister of Education,Sri Lanka Institute of Nanotechnology (Pvt.) Ltd.,Sri Lanka Institute of Nano Technology (Pvt.) Ltd.
Minister of Transport and Highways,Road Development Authority and its subsidiaries and affiliates,Road Development Authority and its Subsidiaries and Associates
Minister of Transport and Highways,Sahasya Investment Ltd.,Sahasya Investments Limited
Minister of Transport and Highways,Maga Neguma,Maga Naguma
Minister of Transport and Highways,National Council for Road Safety,National Council on Road Safety
Minister of Transport and Highways,Lakdiva Engineering Ltd,Lakdiva Engineering Ltd.
Minister of Mass Media,Lanka Puwath Ltd,Lanka Puwath Ltd.
Minister of Health,National Institute of Health Sciences,National Institute of Health Science
Minister of Health,"All National, Teaching and Specific Government Hospitals","All National, Teaching and Specified Government Hospitals"
Minister of Health,Vijaya Kumaratunga Memorial Hospital,Vijaya Kumaranatunga Memorial Hospital
"Minister of Justice, Prisons Affairs and Constitutional Reforms",Legal Aid Commission of Sri Lanka,Legal Aid Commission of Lanka
"Minister of Justice, Prisons Affairs and Constitutional Reforms",Sri Lanka International Arbitration Centre (Guarantee) Ltd,Sri Lanka International Arbitration Centre (Guarantee Ltd.)
"Minister of Justice, Prisons Affairs and Constitutional Reforms",National Authority for the Protection of Victims of Crime and Witnesses,National Authority for the Protection of Victims and Witnesses of Crime
Minister of Tourism and Lands,Department of National Botanic Gardens,Department of National Botanical Gardens
Minister of Plantation Industries,Chilaw Plantation Company Ltd,Chilaw Plantation Company Ltd.
Minister of Industries,Kahagolla Engineering Services Company Ltd. (KESCO),Kahagolle Engineering Services Company Ltd. (KESCO)
Minister of Industries,Centre of Excellence for Robotic Applications,Centre of excellence for Robotic Applications
Minister of Industries,Lanka Cement Ltd,Lanka Cement Ltd.
Minister of Industries,Paranthan Chemicals Ltd,Paranthan Chemicals Ltd.
Minister of Industries,BCC (Pvt) Limited,BCC (Pvt.) Limited
Minister of Industries,Timber-related Design Centre,Timber-related design centre
Minister of Industries,Lanka Salusala Ltd,Lanka Salusala Ltd.
"Minister of Buddhasasana, Religious and Cultural Affairs",S W R D Bandaranaike National Memorial Foundation,S. W. R. D. Bandaranaike National Memorial Foundation
"Minister of Buddhasasana, Religious and Cultural Affairs",J.R. Jayewardene Centre,J.R. Jayawardene Centre
"Minister of Buddhasasana, Religious and Cultural Affairs",“Ape Gama”,Ape Gama
Minister of Power and Energy,Ceylon Electricity Company,Lanka Electricity Company
Minister of Power and Energy,Lanka Coal Company (Pvt) Ltd,Lanka Coal Company (Pvt.) Ltd.
Minister of Power and Energy,Polipto Lanka (Pvt) Ltd.,Polipto Lanka (Pvt.) Ltd.
Minister of Environment,GSMB Technical Services (Pvt) Ltd.,GSMB Technical Services (Pvt.) Ltd
Minister of Environment,Sri Lanka Climate Fund (Pvt) Ltd.,Sri Lanka Climate Fund (Pvt.) Ltd
Minister of Sports and Youth Affairs,National Youths Services Cooperative Society Limited,National Youths Services Co-operative Limited
Minister of Irrigation,"Major irrigation development projects including Uma Oya, Moragahakanda, Kalu Ganga, Gin Ganga, Nilwala, Malwathu Oya","Major development projects including Uma Oya, Moragahakanda, Kalu Ganga, Gin, Nilwala, Malwathu Oya"
"Minister of Trade, Commerce and Food Security",Cooperative Wholesale Establishment,Co-operative Wholesale Establishment
"Minister of Trade, Commerce and Food Security",Department of Cooperative Development (Registrar of Cooperative Societies),Department of Co-operative Development (Registrar of Co-operative Societies)
"Minister of Trade, Commerce and Food Security",Cooperative Employees Commission,Co-operative Employees Commission
"Minister of Trade, Commerce and Food Security",National Institute of Cooperative Development,National Institute of Co-operative Development
