parent,child,relationship,start_date
2156-15,2153-12,AMENDS,2019-12-31
2157-29,2153-12,AMENDS,2020-01-09
2158-05,2153-12,AMENDS,2020-01-13
2159-21,2153-12,AMENDS,2020-01-22
2159-15,2153-12,AMENDS,2020-01-22
2159-15,2153-12,REFERS_TO,2020-01-22
2159-47,2153-12,AMENDS,2020-01-24
2159-47,2153-12,REFERS_TO,2020-01-24
2159-47,2159-15,REFERS_TO,2020-01-24
2159-48,2153-12,AMENDS,2020-01-24
2160-64,2153-12,AMENDS,2020-02-01
2161-43,2153-12,AMENDS,2020-02-07
2167-06,2153-12,AMENDS,2020-03-17
2167-06,2153-12,REFERS_TO,2020-03-17
2170-02,2153-12,AMENDS,2020-04-08
2170-02,2153-12,REFERS_TO,2020-04-08
2194-74,2187-27,AMENDS,2020-09-25
2194-74,2187-27,REFERS_TO,2020-09-25
2196-27,2187-27,AMENDS,2020-10-06
2196-27,2187-27,REFERS_TO,2020-10-06
2196-27,2194-74,REFERS_TO,2020-10-06
2202-25,2187-27,AMENDS,2020-11-20
2202-25,2187-27,REFERS_TO,2020-11-20
2205-14,2187-27,AMENDS,2020-12-11
2205-14,2187-27,REFERS_TO,2020-12-11
2215-20,2187-27,AMENDS,2021-02-16
2215-20,2187-27,REFERS_TO,2021-02-16
2226-17,2187-27,AMENDS,2021-05-03
2226-17,2187-27,REFERS_TO,2021-05-03
2228-10,2187-27,AMENDS,2021-05-17
2228-10,2187-27,REFERS_TO,2021-05-17
2230-12,2187-27,AMENDS,2021-06-03
2230-12,2187-27,REFERS_TO,2021-06-03
2232-39,2187-27,AMENDS,2021-06-18
2232-39,2187-27,REFERS_TO,2021-06-18
2235-45,2187-27,AMENDS,2021-07-07
2235-45,2187-27,REFERS_TO,2021-07-07
2235-59,2187-27,AMENDS,2021-07-08
2235-59,2187-27,REFERS_TO,2021-07-08
2238-19,2187-27,AMENDS,2021-07-29
2238-19,2187-27,REFERS_TO,2021-07-29
2241-07,2187-27,AMENDS,2021-08-16
2241-07,2187-27,REFERS_TO,2021-08-16
2248-35,2187-27,AMENDS,2021-10-06
2248-35,2187-27,REFERS_TO,2021-10-06
2254-30,2187-27,AMENDS,2021-11-17
2254-30,2187-27,REFERS_TO,2021-11-17
2256-39,2187-27,AMENDS,2021-12-02
2256-39,2187-27,REFERS_TO,2021-12-02
2261-97,2187-27,AMENDS,2022-01-09
2261-97,2187-27,REFERS_TO,2022-01-09
2268-51,2187-27,AMENDS,2022-02-23
2268-51,2187-27,REFERS_TO,2022-02-23
2270-14,2187-27,AMENDS,2022-03-08
2270-14,2187-27,REFERS_TO,2022-03-08
2271-08,2187-27,AMENDS,2022-03-14
2271-08,2187-27,REFERS_TO,2022-03-14
2277-53,2187-27,AMENDS,2022-04-28
2277-53,2187-27,REFERS_TO,2022-04-28
2283-34,2281-41,AMENDS,2022-06-09
2283-34,2281-41,REFERS_TO,2022-06-09
2286-12,2281-41,AMENDS,2022-06-27
2286-12,2281-41,REFERS_TO,2022-06-27
2286-12,2283-34,REFERS_TO,2022-06-27
2287-26,2281-41,AMENDS,2022-07-07
2287-26,2281-41,REFERS_TO,2022-07-07
2287-26,2283-34,REFERS_TO,2022-07-07
2287-26,2286-12,REFERS_TO,2022-07-07
