parent,child,relationship,start_date
2297-78,2289-43,AMENDS,2022-09-16
2297-78,2289-43,REFERS_TO,2022-09-16
2300-24,2289-43,AMENDS,2022-10-05
2300-24,2289-43,REFERS_TO,2022-10-05
2300-24,2297-78,REFERS_TO,2022-10-05
2303-17,2289-43,AMENDS,2022-10-26
2303-17,2289-43,REFERS_TO,2022-10-26
2311-42,2289-43,AMENDS,2022-12-22
2311-42,2289-43,REFERS_TO,2022-12-22
2315-35,2289-43,AMENDS,2023-01-19
2315-35,2289-43,REFERS_TO,2023-01-19
2329-44,2289-43,AMENDS,2023-04-27
2329-44,2289-43,REFERS_TO,2023-04-27
2334-07,2289-43,AMENDS,2023-05-30
2334-07,2289-43,REFERS_TO,2023-05-30
2343-05,2289-43,AMENDS,2023-07-31
2343-05,2289-43,REFERS_TO,2023-07-31
2355-09,2289-43,AMENDS,2023-10-23
2355-10,2289-43,AMENDS,2023-10-23
2355-10,2289-43,REFERS_TO,2023-10-23
2363-75,2289-43,AMENDS,2023-12-22
2363-75,2289-43,REFERS_TO,2023-12-22
2373-22,2289-43,AMENDS,2024-02-27
2373-22,2360-60,REFERS_TO,2024-02-27
2398-39,2289-43,AMENDS,2024-08-23
2398-39,2289-43,REFERS_TO,2024-08-23
2398-40,2289-43,AMENDS,2024-08-23
